Date,Children,Women,Men
7/10/2023,20,6,250
8/10/2023,71,55,125
10/10/2023,82,81,157
11/10/2023,87,88,167
12/10/2023,99,129,174
13/10/2023,157,162,258
14/10/2023,110,138,186
15/10/2023,136,149,208
16/10/2023,91,128,126
17/10/2023,87,95,103
18/10/2023,238,413,265
19/10/2023,149,151,218
20/10/2023,137,172,180
21/10/2023,95,127,121
22/10/2023,117,131,135
23/10/2023,182,212,224
24/10/2023,305,323,381
25/10/2023,344,323,433
26/10/2023,209,246,235
